"""0"", ""Potsdam"", ""52.402247"", ""13.057122"", ""Germany"", ""DE"", ""Potsdam"", ""admin"", ""218095"", ""145292"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Erfurt"", ""50.978695"", ""11.032831"", ""Germany"", ""DE"", ""Erfurt"", ""admin"", ""203254"", ""175476"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Rostock"", ""54.086813"", ""12.113453"", ""Germany"", ""DE"", ""Rostock"", """", ""203080"", ""198293"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Mainz"", ""49.984188"", ""8.279096"", ""Germany"", ""DE"", ""Mainz"", ""admin"", ""184997"", ""184997"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Ulm"", ""48.397053"", ""9.968956"", ""Germany"", ""DE"", ""Ulm"", ""minor"", ""172955"", ""120451"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Wuerzburg"", ""49.793912"", ""9.951214"", ""Germany"", ""DE"", ""Wuerzburg"", ""minor"", ""168561"", ""133731"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Oldenburg"", ""53.141178"", ""8.214674"", ""Germany"", ""DE"", ""Oldenburg"", ""minor"", ""167458"", ""159218"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Regensburg"", ""49.034512"", ""12.119234"", ""Germany"", ""DE"", ""Regensburg"", ""minor"", ""164359"", ""129151"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Ingolstadt"", ""48.765081"", ""11.423725"", ""Germany"", ""DE"", ""Ingolstadt"", ""minor"", ""163325"", ""120658"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Goettingen"", ""51.539334"", ""9.934057"", ""Germany"", ""DE"", ""Goettingen"", ""minor"", ""139419"", ""122149"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Bremerhaven"", ""53.550209"", ""8.576735"", ""Germany"", ""DE"", ""Bremerhaven"", ""minor"", ""137751"", ""117446"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Cottbus"", ""51.757691"", ""14.328875"", ""Germany"", ""DE"", ""Cottbus"", ""minor"", ""105067"", ""84754"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Jena"", ""50.928782"", ""11.589901"", ""Germany"", ""DE"", ""Jena"", ""minor"", ""104712"", ""95171"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Gera"", ""50.875507"", ""12.083296"", ""Germany"", ""DE"", ""Gera"", ""minor"", ""104659"", ""103055"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Flensburg"", ""54.78431"", ""9.439611"", ""Germany"", ""DE"", ""Flensburg"", ""minor"", ""97930"", ""85838"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Schwerin"", ""53.628373"", ""11.409462"", ""Germany"", ""DE"", ""Schwerin"", ""admin"", ""96641"", ""96641"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Rosenheim"", ""47.857316"", ""12.119255"", ""Germany"", ""DE"", ""Rosenheim"", ""minor"", ""92809"", ""60167"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Gieueen"", ""50.58727"", ""8.675536"", ""Germany"", ""DE"", ""Gieueen"", ""minor"", ""82358"", ""74411"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Stralsund"", ""54.315823"", ""13.088588"", ""Germany"", ""DE"", ""Stralsund"", ""minor"", ""61368"", ""58976"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Coburg"", ""50.259366"", ""10.963843"", ""Germany"", ""DE"", ""Coburg"", """", ""61054"", ""41901"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Hofeck"", ""50.330895"", ""11.892585"", ""Germany"", ""DE"", ""Hofeck"", """", ""56153"", ""49239"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Emden"", ""53.367454"", ""7.207776"", ""Germany"", ""DE"", ""Emden"", ""minor"", ""51526"", ""48046"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Detmold"", ""51.943277"", ""8.872182"", ""Germany"", ""DE"", ""Detmold"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Mei??en"", ""51.15"", ""13.483333"", ""Germany"", ""DE"", ""Mei??en"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Kitzingen"", ""49.739731"", ""10.150719"", ""Germany"", ""DE"", ""Kitzingen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Dingolfing"", ""48.62958"", ""12.497606"", ""Germany"", ""DE"", ""Dingolfing"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Heppenheim"", ""49.641447"", ""8.632063"", ""Germany"", ""DE"", ""Heppenheim"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Torgau"", ""51.56016"", ""12.996166"", ""Germany"", ""DE"", ""Torgau"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Hanau"", ""50.134229"", ""8.914176"", ""Germany"", ""DE"", ""Hanau"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Husum"", ""54.482518"", ""9.059913"", ""Germany"", ""DE"", ""Husum"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Schwandorf"", ""49.32534"", ""12.109795"", ""Germany"", ""DE"", ""Schwandorf"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Bitburg"", ""49.967937"", ""6.527343"", ""Germany"", ""DE"", ""Bitburg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Cham"", ""49.225651"", ""12.655013"", ""Germany"", ""DE"", ""Cham"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Traunstein"", ""47.868247"", ""12.643347"", ""Germany"", ""DE"", ""Traunstein"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Luechow"", ""52.968114"", ""11.153968"", ""Germany"", ""DE"", ""Luechow"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Gifhorn"", ""52.477743"", ""10.551095"", ""Germany"", ""DE"", ""Gifhorn"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Biberach"", ""48.099942"", ""9.786893"", ""Germany"", ""DE"", ""Biberach"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Bad Reichenhall"", ""Reichenhall, 47.729467"", ""12.878193"", ""Germany"", ""DE"", ""Bad Reichenhall"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Keunzelsau"", ""49.281802"", ""9.683525"", ""Germany"", ""DE"", ""Keunzelsau"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Weiueenburg"", ""49.030564"", ""10.972771"", ""Germany"", ""DE"", ""Weiueenburg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Regen"", ""48.971901"", ""13.128243"", ""Germany"", ""DE"", ""Regen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Nuremberg"", ""49.447778"", ""11.068333"", ""Germany"", ""DE"", ""Nuremberg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Aurich"", ""53.469193"", ""7.482319"", ""Germany"", ""DE"", ""Aurich"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Nordhorn"", ""52.432784"", ""7.068896"", ""Germany"", ""DE"", ""Nordhorn"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Aichach"", ""48.461421"", ""11.134257"", ""Germany"", ""DE"", ""Aichach"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Marburg"", ""50.809044"", ""8.770694"", ""Germany"", ""DE"", ""Marburg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Goerlitz"", ""51.166667"", ""15.0"", ""Germany"", ""DE"", ""Goerlitz"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Vechta"", ""52.726324"", ""8.285982"", ""Germany"", ""DE"", ""Vechta"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Trier"", ""49.75979"", ""6.636628"", ""Germany"", ""DE"", ""Trier"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Pirmasens"", ""49.204106"", ""7.603486"", ""Germany"", ""DE"", ""Pirmasens"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Pirna"", ""50.958054"", ""13.938197"", ""Germany"", ""DE"", ""Pirna"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Neustadt"", ""49.350089"", ""8.138863"", ""Germany"", ""DE"", ""Neustadt"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Beeskow"", ""52.17291"", ""14.245973"", ""Germany"", ""DE"", ""Beeskow"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Westerstede"", ""53.256822"", ""7.927372"", ""Germany"", ""DE"", ""Westerstede"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Verden"", ""52.923425"", ""9.234908"", ""Germany"", ""DE"", ""Verden"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Worms"", ""49.632784"", ""8.359164"", ""Germany"", ""DE"", ""Worms"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Dueren"", ""50.804337"", ""6.492988"", ""Germany"", ""DE"", ""Dueren"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Landsberg"", ""48.047642"", ""10.869584"", ""Germany"", ""DE"", ""Landsberg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Ludwigsburg"", ""48.893886"", ""9.195419"", ""Germany"", ""DE"", ""Ludwigsburg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Meiningen"", ""50.570435"", ""10.417231"", ""Germany"", ""DE"", ""Meiningen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Siegen"", ""50.874815"", ""8.02431"", ""Germany"", ""DE"", ""Siegen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Deggendorf"", ""48.840855"", ""12.960676"", ""Germany"", ""DE"", ""Deggendorf"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Peine"", ""52.319277"", ""10.2352"", ""Germany"", ""DE"", ""Peine"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Frankfurt (Oder)"", ""Oder), 52.344312"", ""14.53498"", ""Germany"", ""DE"", ""Frankfurt (Oder)"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Nienburg"", ""52.646102"", ""9.220856"", ""Germany"", ""DE"", ""Nienburg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Brake"", ""53.326867"", ""8.480492"", ""Germany"", ""DE"", ""Brake"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Memmingen"", ""47.985359"", ""10.182507"", ""Germany"", ""DE"", ""Memmingen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Kirchheimbolanden"", ""49.662487"", ""8.015131"", ""Germany"", ""DE"", ""Kirchheimbolanden"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Tauberbischofsheim"", ""49.624722"", ""9.662778"", ""Germany"", ""DE"", ""Tauberbischofsheim"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Emmendingen"", ""48.118466"", ""7.848932"", ""Germany"", ""DE"", ""Emmendingen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Warendorf"", ""51.95109"", ""7.987557"", ""Germany"", ""DE"", ""Warendorf"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Bad Segeberg"", ""Segeberg, 53.943131"", ""10.302154"", ""Germany"", ""DE"", ""Bad Segeberg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Rotenburg"", ""53.111251"", ""9.410819"", ""Germany"", ""DE"", ""Rotenburg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Kronach"", ""50.238777"", ""11.33049"", ""Germany"", ""DE"", ""Kronach"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Darmstadt"", ""49.871674"", ""8.650271"", ""Germany"", ""DE"", ""Darmstadt"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Mindelheim"", ""48.045781"", ""10.492223"", ""Germany"", ""DE"", ""Mindelheim"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Bergheim"", ""50.954875"", ""6.64094"", ""Germany"", ""DE"", ""Bergheim"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Donauwoerth"", ""48.694951"", ""10.779154"", ""Germany"", ""DE"", ""Donauwoerth"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Korbach"", ""51.274307"", ""8.87196"", ""Germany"", ""DE"", ""Korbach"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Herzberg"", ""51.691501"", ""13.232048"", ""Germany"", ""DE"", ""Herzberg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Hameln"", ""52.109245"", ""9.365097"", ""Germany"", ""DE"", ""Hameln"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Suhl"", ""50.609111"", ""10.694009"", ""Germany"", ""DE"", ""Suhl"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Friedberg"", ""50.337391"", ""8.755907"", ""Germany"", ""DE"", ""Friedberg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Hof"", ""50.31622"", ""11.918332"", ""Germany"", ""DE"", ""Hof"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Neuburg"", ""48.732181"", ""11.18709"", ""Germany"", ""DE"", ""Neuburg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Bad Kissingen"", ""Kissingen, 50.202278"", ""10.077836"", ""Germany"", ""DE"", ""Bad Kissingen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Viersen"", ""51.254348"", ""6.394414"", ""Germany"", ""DE"", ""Viersen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Birkenfeld"", ""49.652447"", ""7.166679"", ""Germany"", ""DE"", ""Birkenfeld"", ""minor"", """", """", ""20-20"", ""20-20"""
